window_start,down_up_byte_ratio,downlink_throughput_bps,psz_mean_down,psz_std_down,psz_p90_down,iat_mean_down,iat_cov_down,burst_cnt,burst_bytes_avg,up_tiny_pkt_rate,label
1755335995,58812,156832,735.15,603.7605713,1292,0.034507694,4.567983778,10,5861.3,0,0
1755335998,21389,57037.33333,388.8909091,508.0709211,1292,0.043007555,2.67602565,10,1970.5,0,0
1755336001,9.37037037,1349.333333,63.25,4.763139721,66,0.28577372,0.947587369,2,126.5,0.333333333,0
1755336007,66,176,66,0,66,0,0,0,0,0,0
1755336010,2722,7258.666667,143.2631579,283.9408467,205,0.129520774,1.607085273,3,736.6666667,0,0
1755336013,2083,5554.666667,189.3636364,364.0337828,205,0.201906395,1.555432094,2,909.5,0,0
1755336016,198,528,66,0,66,0.507328987,0.973752897,0,0,0,0
1755336019,294,784,58.8,5.878775383,66,0.557048976,1.07964071,1,108,0,0
1755336022,174,464,58,5.656854249,63.6,0.540439487,0.085497741,0,0,0,0
1755336025,2211,5896,116.3684211,109.9503288,344.2,0.078475104,1.572562972,3,639,0,0
1755336028,17142,45712,451.1052632,530.7678048,1292,0.039758811,2.660403666,6,2349.833333,0,0
1755336031,191594,510917.3333,656.1438356,587.4727098,1292,0.010046897,3.028243238,39,4815.461538,0,0
1755336034,268200,715200,667.1641791,588.244342,1292,0.006877948,3.702831946,36,7438.944444,0,0
1755336037,12666,33776,550.6956522,594.3909879,1292,0.130047733,4.069715831,5,2494.2,0,0
1755336040,6146,16389.33333,439,539.9290959,1290.2,0.040832611,1.752332588,4,1506.5,0,0
1755336043,54219,144584,169.434375,204.0902422,341,0.008054289,2.83666152,24,2085.916667,0,0
1755336046,262172,699125.3333,636.3398058,575.5467481,1292,0.00722979,4.11880076,36,6787.583333,0,0
1755336049,251917,671778.6667,584.4941995,575.4393373,1292,0.006809354,2.611368845,49,5023.836735,0,0
1755336052,192197,512525.3333,602.4984326,591.0067118,1292,0.008141551,3.054655484,49,3903.938776,0,0
1755336055,10898,29061.33333,573.5789474,604.6801082,1462,0.089975662,1.317471589,3,3350.333333,0,0
1755336058,54,144,54,0,54,0,0,0,0,0,0
1755336061,23823,63528,410.7413793,520.6545801,1292,0.034592963,1.895399558,11,1773.909091,0,0
1755336067,20769,55384,506.5609756,549.1955558,1292,0.059426475,2.157144922,9,2201.111111,0,0
1755336073,4077,10872,194.1428571,371.9763543,205,0.083969307,1.72513732,4,956,0,0
1755336076,264,704,66,0,66,0.669811328,0.707249601,1,132,0,0
1755336079,28100,74933.33333,484.4827586,544.2643007,1292,0.021643651,2.045967315,9,2945.666667,0,0
1755336082,301992,805312,626.5394191,579.1995617,1292,0.005987274,3.530850652,39,7715.461538,0,0
1755336085,363115,968306.6667,703.7112403,576.4975846,1292,0.005819379,3.885055354,35,10230.68571,0,0
1755336088,133951,357202.6667,567.5889831,574.743381,1292,0.011991349,5.338005273,23,5803.565217,0,0
1755336091,234633,625688,869.0111111,568.8942848,1292,0.009311848,3.92914322,20,11683.55,0,0
1755336094,198,528,66,0,66,1.002089024,1,1,132,0,0
1755336097,19575,52200,477.4390244,539.0555448,1292,0.027428949,3.890714164,4,4170.75,0,0
1755336100,17192,45845.33333,491.2,541.8669209,1292,0.049067034,3.276752715,3,4721,0,0
1755336103,26850,71600,725.6756757,581.4704591,1292,0.016290612,2.599161465,5,5323.2,0,0
1755336106,20221,53922.66667,449.3555556,541.6582832,1292,0.063039753,3.004067269,5,3873.8,0,0
1755336109,15451,41202.66667,335.8913043,490.7940429,1292,0.032073397,2.091683958,6,2382,0,0
1755336112,145104,386944,901.2670807,549.2657748,1292,0.011156206,3.5135707,11,13118.90909,0,0
1755336115,116924,311797.3333,712.9512195,595.1774259,1292,0.011939932,3.939498448,16,7016.9375,0,0
1755336118,67486,179962.6667,833.1604938,568.8944543,1292,0.034872162,5.570265992,4,16584.75,0,0
1755336121,51607,137618.6667,586.4431818,577.3559218,1292,0.019147643,4.713244456,6,8541.333333,0,0
1755336124,931263,2483368,1033.588235,491.4236338,1292,0.00142948,7.896771865,15,62079.2,0,0
1755336127,149090,397573.3333,683.8990826,582.2767863,1292,0.010949945,5.492274262,25,5790.16,0,0
1755336130,87611,233629.3333,648.9703704,591.9237681,1292,0.020041119,4.044028923,18,4693.222222,0,0
1755336133,43381,115682.6667,594.260274,584.6961048,1292,0.027149641,2.849118781,11,3326.454545,0,0
1755336136,54,144,54,0,54,0,0,0,0,0,0
1755336142,159136,424362.6667,765.0769231,566.5655504,1292,0.001690668,2.920907088,8,19861.125,0,0
1755336145,353742,943312,622.7852113,568.1997203,1292,0.005127878,3.466725421,45,7803.2,0,0
1755336148,230052,613472,616.7613941,563.6623963,1292,0.00786561,2.870447316,44,5152.818182,0,0
1755336151,36749,97997.33333,644.7192982,579.1168944,1292,0.05269361,3.421972333,8,4526.375,0,0
1755336154,299029,797410.6667,720.5518072,566.9290741,1292,0.007090524,8.107840767,28,10648.67857,0,0
1755336157,4613,12301.33333,230.65,394.9669955,851.5,0.153628588,2.154044962,3,1342,0,0
1755336160,225044,600117.3333,601.7219251,564.6670475,1292,0.007958911,5.277351638,41,5278.487805,0,0
1755336163,74050,197466.6667,592.4,582.3829805,1292,0.023954163,2.62148244,18,4004.277778,0,0
1755336166,53523,142728,514.6442308,561.3832319,1292,0.019991495,2.550065242,17,3123.588235,0,0
1755336169,38992,103978.6667,487.4,551.650605,1292,0.027341013,2.775126812,13,2969.076923,0,0
1755336172,66,176,66,0,66,0,0,0,0,0,0
1755336175,15024,40064,349.3953488,461.5718412,1287.4,0.048287954,2.23224272,9,1406.111111,0,0
1755336178,347157,925752,908.7879581,542.2970289,1292,0.007444628,6.462073268,30,11502.2,0,0
1755336181,153916,410442.6667,712.5740741,586.3750017,1292,0.013911911,2.347183532,24,6307.5,0,0
1755336184,173702,463205.3333,789.5545455,580.6646284,1292,0.008171622,2.553429083,24,7103.958333,0,0
1755336187,12649,33730.66667,632.45,572.7058124,1292,0.005109636,1.192196289,3,2493.666667,0,0
1755336273,61420,163786.6667,579.4339623,544.8036174,1292,0.024048753,8.124949794,12,4996.25,0,0
1755336276,971890,2591706.667,1018.752621,495.487196,1292,0.002952929,7.30432619,21,46003.09524,0,0
1755336279,14484.64815,2085789.333,1000.21867,503.995813,1292,0.003092201,6.469411187,23,33918.69565,0.333333333,0
1755336282,582733,1553954.667,967.9950166,520.0888133,1292,0.004782053,5.471314811,25,23131.28,0,0
1755336285,303816,810176,1073.55477,451.9356012,1292,0.005951348,6.112260885,10,30334,0,0
1755336288,13572,36192,315.627907,449.393753,1274,0.034674355,3.505062492,7,1905.142857,0,0
1755336294,335741,895309.3333,1059.119874,458.6981147,1292,0.002943737,5.256438064,11,30489.54545,0,0
1755336297,662486,1766629.333,1033.519501,480.305035,1292,0.004361042,7.25775009,24,27559.91667,0,0
1755336300,648345,1728920,1045.717742,470.9309956,1292,0.004798049,5.478815893,25,25854.4,0,0
1755336303,631300,1683466.667,1019.870759,487.2527113,1292,0.004694133,8.942135067,19,33177.94737,0,0
1755336306,717336,1912896,1026.23176,482.8459362,1292,0.0042542,6.217360204,24,29822.45833,0,0
1755336309,372212,992565.3333,905.6253041,552.1155383,1292,0.003945473,5.169136881,16,23235.75,0,0
1755336312,2919,7784,583.8,563.2723675,1273.4,0.008169532,0.895404248,1,2622,0,0
1755336315,241893,645048,1094.538462,432.1795804,1292,0.0057721,7.922718753,7,34515,0,0
1755336318,171953,458541.3333,1011.488235,494.2828345,1292,0.003090059,5.124381102,6,28623.33333,0,0
1755336321,400728,1068608,894.4821429,556.3103937,1292,0.005234611,4.322284132,22,18067.04545,0,0
