window_start,down_up_byte_ratio,downlink_throughput_bps,psz_mean_down,psz_std_down,psz_p90_down,iat_mean_down,iat_cov_down,burst_cnt,burst_bytes_avg,up_tiny_pkt_rate,label
1755365019.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365022.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365025.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365028.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365031.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365034.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365037.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365040.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365043.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365046.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365049.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365052.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365055.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365058.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365061.270908,2.0,288.0,54.0,0.0,54.0,0,0,2,0,0,-1
1755365064.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365067.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365070.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365073.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365076.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365079.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365082.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365085.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365088.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365091.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365094.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365097.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365100.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365103.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365106.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365109.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365112.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365115.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365118.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365121.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365124.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365127.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365130.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365133.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365136.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365139.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365142.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365145.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365148.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365151.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
1755365154.270908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1
